Surname,First Names,Age,Boarded,Survivor (S) or Victim (†)
Norman,Mr Robert Douglas,27,Southampton,†
Nye,Mrs Elizabeth,29,Southampton,S
Otter,Mr Richard,38,Southampton,†
Oxenham,Mr Percy Thomas,22,Southampton,S
Padron Manent,Mr Julian,26,Cherbourg,S
Pain,Dr Alfred,23,Southampton,†
Pallàs I Castelló,Señor Emili,29,Cherbourg,S
Parker,Mr Clifford Richard,17,Southampton,†
Parkes,Mr Francis,21,Belfast,†
Parrish,Mrs Lutie Davis,59,Southampton,S
Pengelly,Mr Frederick William,19,Southampton,†
Pernot,Mr René,39,Cherbourg,†
Peruschitz,Father Josef,41,Southampton,†
Phillips,Mr Escott Robert,42,Southampton,†
Phillips,Miss Alice Frances Louisa,21,Southampton,S
Phillips,Miss Kate Florence,19,Southampton,S
Pinsky,Mrs Rosa,32,Southampton,S
Ponesell,Mr Martin,24,Southampton,†
Portaluppi,Mr Emilio Ilario Giuseppe,30,Cherbourg,S
Pulbaum,Mr Franz,27,Cherbourg,†
Quick,Mrs Jane,33,Southampton,S
Quick,Miss Winifred Vera,8,Southampton,S
Quick,Miss Phyllis May,2,Southampton,S
Reeves,Mr David,36,Southampton,†
Renouf,Mr Peter Henry,33,Southampton,†
Renouf,Mrs Lillian,30,Southampton,†
Reynalds,Señora Encarnación,28,Southampton,S
Richard,Mr Emile Phillippe,23,Cherbourg,†
Richards,Mrs Emily,24,Southampton,S
Richards,Master Sibley George,9m,Southampton,S
Richards,Master William Rowe,3,Southampton,S
Ridsdale,Miss Lucy,58,Southampton,S
Rogers,Mr Reginald Harry,18,Southampton,†
Rugg,Miss Emily,21,Southampton,S
Schmidt,Mr Augustus,21,Southampton,†
Sedgwick,Mr Charles Frederick Waddington,28,Southampton,†
Sharp,Mr Percival,27,Southampton,†
Shelley,Mrs Imanita Parrish,25,Southampton,S
Silvén,Miss Lyyli Karoliina,17,Southampton,S
Sincock,Miss Maude,20,Southampton,S
Sinkkonen,Miss Anna,29,Southampton,S
Sjöstedt,Mr Ernst Adolf,59,Southampton,†
Slayter,Miss Hilda Mary,30,Queenstown,S
Slemen,Mr Richard James,35,Southampton,†
Smith,Miss Marion Elsie,39,Southampton,S
Sobey,Mr Samuel James Hayden,25,Southampton,†
Stanton,Mr Samuel Ward,42,Cherbourg,†
Stokes,Mr Philip Joseph,25,Southampton,†
Swane,Mr George,19,Southampton,†
Sweet,Mr George Frederick,14,Southampton,†
Taylor,Mr Percy Cornelius,32,Southampton,†
Toomey,Miss Ellen Mary,48,Southampton,S
Troupiansky,Mr Moses Aaron,23,Southampton,†
Trout,Mrs Jessie Laird,27,Southampton,S
Troutt,Miss Edwina Celia,27,Southampton,S
Turpin,Mr William John,29,Southampton,†
Turpin,Mrs Dorothy Ann,26,Southampton,†
Veal,Mr James,40,Southampton,†
Wallcroft,Miss Ellen “Nellie”,36,Southampton,S
Ware,Mr John James,45,Southampton,†
Ware,Mrs Florence Louise,31,Southampton,S
Ware,Mr William Jeffery,23,Southampton,†
Watson,Mr Ennis Hastings,19,Belfast,†
Watt,Mrs Elizabeth,40,Southampton,S
Watt,Miss Robertha Josephine,12,Southampton,S
Webber,Miss Susan,37,Southampton,S
Weisz,Mr Léopold,37,Southampton,†
Weisz,Mrs Mathilde Françoise,37,Southampton,S
Wells,Mrs Addie Dart,29,Southampton,S
Wells,Miss Joan,4,Southampton,S
Wells,Master Ralph Lester,2,Southampton,S
West,Mr Edwy Arthur,36,Southampton,†
West,Mrs Ada Mary,33,Southampton,S
West,Miss Barbara Joyce,10m,Southampton,S
West,Miss Constance Mirium,4,Southampton,S
Wheadon,Mr Edward Henry,65,Southampton,†
Wheeler,Mr Edwin Charles,24,Southampton,†
Whilems,Mr Charles,31,Southampton,S
Wilkinson,Mrs Elizabeth Anne,35,Southampton,S
Williams,Mr Charles Eugene,23,Southampton,S
Woodward,Mr John Wesley,32,Southampton,†
Wright,Miss Marion,26,Southampton,S
Yvois,Miss Henriette,24,Southampton,†
Ab ī-Al-Munà,Mr Nās īf Qāsim,26,Cherbourg,S
Abbing,Mr Anthony,42,Southampton,†
Abbott,Mrs Rhoda Mary “Rosa”,39,Southampton,S
Abbott,Mr Rossmore Edward,16,Southampton,†
Abbott,Mr Eugene Joseph,14,Southampton,†
Abelseth,Miss Karen Marie,16,Southampton,S
Abelseth,Mr Olaus Jørgensen,25,Southampton,S
Abrahamsson,Mr Abraham August Johannes,20,Southampton,S
Ådahl,Mr Mauritz,30,Southampton,†
Adams,Mr John,26,Southampton,†
Ahlin,Mrs Johanna Persdotter,40,Southampton,†
Aks,Mrs Leah,18,Southampton,S
Aks,Master Frank Philip,10m,Southampton,S
Al-Munà,Mr Far īd Husayn Qāsim,18,Cherbourg,†
Alexander,Mr William Albert,23,Southampton,†
Alhomäki,Mr Ilmari Rudolf,19,Southampton,†
Ali,Mr Ahmed,24,Southampton,†
Ali,Mr William,25,Southampton,†
Allen,Mr William Henry,38,Southampton,†
Allum,Mr Owen George,15,Southampton,†
Andersen,Mr Albert Karvin,33,Southampton,†
Andersen-Jensen,Miss Carla Christine Nielsine,19,Southampton,S
Andersson,Miss Erna Alexandra,17,Southampton,S
Andersson,Mr Johan Samuel,26,Southampton,†
Andersson,Miss Ida Augusta Margareta,38,Southampton,†
Andersson,Mr Anders Johan,39,Southampton,†
Andersson,Mrs Alfrida Konstantia Brogren,39,Southampton,†
Andersson,Miss Sigrid Elisabeth,11,Southampton,†
Andersson,Miss Ingeborg Constanzia,9,Southampton,†
Andersson,Miss Ebba Iris Alfrida,6,Southampton,†
Andersson,Master Sigvard Harald Elias,4,Southampton,†
Andersson,Miss Ellis Anna Maria,2,Southampton,†
Andreasson,Mr Pål Edvin,20,Southampton,†
Angheloff,Mr Minko,26,Southampton,†
Arnold-Franchi,Mr Josef,25,Southampton,†
Arnold-Franchi,Mrs Josefine,18,Southampton,†
Aronsson,Mr Ernst Axel Algot,24,Southampton,†
Asim,Mr Adola,35,Southampton,†
Asplund,Master Edvin Rojj Felix,3,Southampton,S
Asplund,Mr Johan Charles,23,Southampton,S
Asplund,Mr Carl Oscar Vilhelm Gustafsson,40,Southampton,†
Asplund,Mrs Selma Augusta Emilia,38,Southampton,S
Asplund,Master Carl Edgar,5,Southampton,†
Asplund,Master Filip Oscar,13,Southampton,†
Asplund,Master Clarence Gustaf Hugo,9,Southampton,†
Asplund,Miss Lillian Gertrud,5,Southampton,S
Assaf,Mrs Mariana,45,Cherbourg,S
Assam,Mr Ali,23,Southampton,†
Attala,Mr Sleiman,27,Cherbourg,†
Attalah,Miss Malake,17,Cherbourg,†
Augustsson,Mr Albert,23,Southampton,†
Ayoub Daher,Miss Banoura,15,Cherbourg,S
Backström,Mr Karl Alfred,32,Southampton,†
Backström,Mrs Maria Mathilda,33,Southampton,†
Baclini,Mrs Latifa,24,Cherbourg,S
Baclini,Miss Marie Catherine,5,Cherbourg,S
Baclini,Miss Eugenie,3,Cherbourg,S
Baclini,Miss Helene Barbara,9m,Cherbourg,S
Badman,Miss Emily Louisa,18,Southampton,S
Badt,Mr Mohamed,40,Cherbourg,†
Balkic,Mr Cerin,26,Southampton,†
Banski,Mrs Mara,31,Southampton,†
Barbara,Mrs Catherine David,45,Cherbourg,†
Barbara,Miss Saiide,18,Cherbourg,†
Barry,Miss Julia,26,Queenstown,†
Barton,Mr David John,22,Southampton,†
Batoshev,Mr Hristo Lalev,23,Southampton,†
Būlus,Mrs Sultānah,40,Cherbourg,†
Būlus,Miss Nūr-al-Ayn,7,Cherbourg,†
Būlus,Master Akar,9,Cherbourg,†
Beavan,Mr William Thomas,20,Southampton,†
Bengtsson,Mr Johan Viktor,26,Southampton,†
Berglund,Mr Karl Ivar Sven,22,Southampton,†
Bing,Mr Lee,32,Southampton,S
Birkeland,Mr Hans Martin Monsen,21,Southampton,†
Björklund,Mr Ernst Herbert,18,Southampton,†
Bostandyeff,Mr Guentcho,26,Southampton,†
Bourke,Mr John,42,Queenstown,†
Bourke,Mrs Catherine,32,Queenstown,†
Bourke,Miss Mary,40,Queenstown,†
Bowen,Mr David John “Dai”,26,Southampton,†
Bradley,Miss Bridget Delia,22,Queenstown,S
Braf,Miss Elin Ester Maria,20,Southampton,†
Braund,Mr Lewis Richard,29,Southampton,†
Braund,Mr Owen Harris,22,Southampton,†
Brobäck,Mr Karl Rudolf,22,Southampton,†
Brocklebank,Mr William Alfred,35,Southampton,†
Buckley,Mr Daniel,21,Queenstown,S
Buckley,Miss Katherine,22,Queenstown,†
Burke,Mr Jeremiah,19,Queenstown,†
Burns,Miss Mary Delia,17,Queenstown,†
Butrus-Ka’W ī,Mr Tannūs,21,Cherbourg,†
Cacic,Mr Jego Grga,18,Southampton,†
Cacic,Mr Luka,38,Southampton,†
Cacic,Miss Marija,30,Southampton,†
Cacic,Miss Manda,21,Southampton,†
Calic,Mr Petar,17,Southampton,†
Calic,Mr Jovo,17,Southampton,†
Canavan,Miss Mary,22,Queenstown,†
Canavan,Mr Patrick,21,Queenstown,†
Cann,Mr Ernest,21,Southampton,†
Caram,Mr Joseph,28,Cherbourg,†
Caram,Mrs Maria Elias,18,Cherbourg,†
Carlsson,Mr Carl Robert,24,Southampton,†
Carlsson,Mr August Sigfrid,28,Southampton,†
Carr,Miss Jane,45,Queenstown,†
Carver,Mr Alfred John,28,Southampton,†
Celotti,Mr Francesco,24,Southampton,†
Charters,Mr David,20,Queenstown,†
Chip,Mr Chang,32,Southampton,S
Christmann,Mr Emil,29,Southampton,†
Chronopoulos,Mr Apostolos M.,26,Cherbourg,†
Chronopoulos,Mr Dimitrios M.,21,Cherbourg,†
Coelho,Mr Domingos Fernandeo,20,Southampton,†
Cohen,Mr Gurshon,18,Southampton,S
Colbert,Mr Patrick,24,Queenstown,†
Coleff,Mr Satio,24,Southampton,†
Coltcheff,Mr Peju,36,Southampton,†
Conlin,Mr Thomas Henry,31,Queenstown,†
Connaughton,Mr Michael,40,Queenstown,†
Connolly,Miss Catherine,23,Queenstown,S
Connolly,Miss Kate,41,Queenstown,†
Connors,Mr Patrick,66,Queenstown,†
Cook,Mr Jacob,43,Southampton,†
Cor,Mr Bartol,35,Southampton,†
Cor,Mr Ivan,27,Southampton,†
Cor,Mr Liudevit,19,Southampton,†
Cornblatt,Mr Harris,30,Southampton,†
Corr,Miss Ellen,16,Queenstown,S
Coutts,Mrs Winnie,36,Southampton,S
Coutts,Master William Loch,9,Southampton,S
Coutts,Master Neville Leslie,3,Southampton,S
Coxon,Mr Daniel,59,Southampton,†
Crease,Mr Ernest James,19,Southampton,†
Cribb,Mr John Hatfield,44,Southampton,†
Cribb,Miss Laura Mae,16,Southampton,S
Culumovic,Mr Jeso,17,Southampton,†
Daher,Mr Tannous,28,Cherbourg,†
Dahl,Mr Charles Edward,45,Southampton,S
Dahlberg,Miss Gerda Ulrika,22,Southampton,†
Dakic,Mr Branko,19,Southampton,†
Daly,Miss Margaret Marcella,33,Queenstown,S
Daly,Mr Eugene Patrick,29,Queenstown,S
Danbom,Mr Ernst Gilbert,34,Southampton,†
Danbom,Mrs Anna Sigrid Maria,28,Southampton,†
Danbom,Master Gilbert Sigvard Emanuel,4m,Southampton,†
Danoff,Mr Yoto,27,Southampton,†
Davies,Mr Evan,22,Southampton,†
Davies,Mr Alfred James,24,Southampton,†
Davies,Mr John,21,Southampton,†
Davies,Mr Joseph,17,Southampton,†
Davison,Mr Thomas Henry,32,Southampton,†
Davison,Mrs Mary Elizabeth,34,Southampton,S
De Messemaeker,Mr Guillaume Joseph,36,Southampton,S
De Messemaeker,Mrs Anna,36,Southampton,S
De Mulder,Mr Theodoor,30,Southampton,S
De Pelsmaeker,Mr Alfons,16,Southampton,†
Dean,Mr Bertram Frank,25,Southampton,†
Dean,Mrs Eva Georgetta,32,Southampton,S
Dean,Master Bertram Vere,1,Southampton,S
Dean,Miss Elizabeth Gladys “Millvina”,2m,Southampton,S
Delalic,Mr Redjo,25,Southampton,†
Denkoff,Mr Mitto,30,Southampton,†
Dennis,Mr Samuel,22,Southampton,†
Dennis,Mr William,26,Southampton,†
Devaney,Miss Margaret Delia,19,Queenstown,S
Dika,Mr Mirko,17,Southampton,†
Dimic,Mr Jovan,42,Southampton,†
Dintcheff,Mr Valtcho,43,Southampton,†
Donohoe,Miss Bridget,21,Queenstown,†
Dooly,Mr Patrick,38,Queenstown,†
Dorking,Mr Edward Arthur,18,Southampton,S
Dougherty,Mr William John,22,Queenstown,†
Dowdell,Miss Elizabeth,31,Southampton,S
Doyle,Miss Elizabeth,28,Queenstown,†
Drazenovic,Mr Jozef,33,Cherbourg,†
Driscoll,Miss Bridget,27,Queenstown,S
Dropkin,Miss Jennie,24,Southampton,†
Duquemin,Mr Joseph Pierre,24,Southampton,S
Dwan,Mr Frank,65,Queenstown,†
Dyker,Mr Adolf Fredrik,23,Southampton,†
Dyker,Mrs Anna Elisabeth Judith,22,Southampton,S
Edvardsson,Mr Gustaf Hjalmar,18,Southampton,†
Eklund,Mr Hans Linus,16,Southampton,†
Ekström,Mr Amandus,45,Southampton,†
Elias,Mr Dibo,29,Cherbourg,†
Elias,Mr Joseph jr.,15,Cherbourg,†
Elias Nasrallah,Mr Tannous,22,Cherbourg,†
Elsbury,Mr William James,48,Southampton,†
Emanuel,Miss Virginia Ethel,5,Southampton,S
Estanislau,Mr Manuel Gonçalves,37,Southampton,†
Everett,Mr Thomas James,38,Southampton,†
Fardon,Mr Charles Richard,45,Southampton,†
Farrell,Mr James,25,Queenstown,†
Finoli,Mr Luigi,34,Southampton,S
Fischer,Mr Eberhard Thelander,18,Southampton,†
Fleming,Miss Honor,22,Queenstown,†
Flynn,Mr James,28,Queenstown,†
Flynn,Mr John,42,Queenstown,†
Foley,Mr Joseph,19,Queenstown,†
Foley,Mr William,20,Queenstown,†
Foo,Mr Choong,32,Southampton,S
Ford,Mr Arthur,22,Southampton,†
Ford,Mrs Margaret Ann Watson,54,Southampton,†
Ford,Miss Dollina Margaret,20,Southampton,†
Ford,Mr Edward Watson,18,Southampton,†
Ford,Mr William Neal Thomas,16,Southampton,†
Ford,Miss Robina Maggie,7,Southampton,†
Fox,Mr Patrick,28,Queenstown,†
Gallagher,Mr Martin,29,Queenstown,†
Garfirth,Mr John,21,Southampton,†
George/Joseph,Mrs Shawneene,38,Cherbourg,S
Gerios Thamah,Mr Assaf,21,Cherbourg,†
Gheorgheff,Mr Stanio,NK,Cherbourg,†
Gilinski,Mr Eliezer,22,Southampton,†
Gilnagh,Miss Katherine,17,Queenstown,S
Glynn,Miss Mary Agatha,19,Queenstown,S
Goldsmith,Mr Frank John,33,Southampton,†
Goldsmith,Mrs Emily Alice,31,Southampton,S
Goldsmith,Master Frank John William,9,Southampton,S
Goldsmith,Mr Nathan,41,Southampton,†
Goodwin,Mr Frederick Joseph,42,Southampton,†
Goodwin,Mrs Augusta,43,Southampton,†
Goodwin,Miss Lillian Amy,16,Southampton,†
Goodwin,Mr Charles Edward,14,Southampton,†
Goodwin,Master William Frederick,11,Southampton,†
Goodwin,Miss Jessie Allis,10,Southampton,†
Goodwin,Master Harold Victor,9,Southampton,†
Goodwin,Master Sidney Leslie,1,Southampton,†
Grønnestad,Mr Daniel Danielsen,32,Southampton,†
Green,Mr George,40,Southampton,†
Guest,Mr Robert,23,Southampton,†
Gustafsson,Mr Karl Gideon,19,Southampton,†
Gustafsson,Mr Alfred Ossian,19,Southampton,†
Gustafsson,Mr Anders Vilhelm,37,Southampton,†
Gustafsson,Mr Johan Birger,28,Southampton,†
Haas,Miss Aloisia,24,Southampton,†
Hagland,Mr Ingvald Olai Olsen,28,Southampton,†
Hagland,Mr Konrad Mathias Reiersen,19,Southampton,†
Hakkarainen,Mr Pekka Pietari,28,Southampton,†
Hakkarainen,Mrs Elin Matilda,24,Southampton,S
Hampe,Mr Léon Jérome,19,Southampton,†
Hanna,Mr Boulos,18,Cherbourg,†
Hanna,Mr Mansour,35,Cherbourg,†
Hannah,Mr Borak,27,Cherbourg,S
Hansen,Mr Claus Peter,41,Southampton,†
Hansen,Mrs Jennie Louise,45,Southampton,S
Hansen,Mr Henry Damsgaard,21,Southampton,†
Hansen,Mr Henrik Juul,26,Southampton,†
Hargadon,Miss Catherine,17,Queenstown,†
Harknett,Miss Alice Phoebe,21,Southampton,†
Hart,Mr Henry,28,Queenstown,†
Healy,Miss Honor,29,Queenstown,S
Hedman,Mr Oskar Arvid,27,Southampton,S
Hee,Mr Ling,24,Southampton,S
Hegarty,Miss Hanora,18,Queenstown,†
Heikkinen,Miss Laina,26,Southampton,†
Heininen,Miss Wendla Maria,23,Southampton,†
Hellström,Miss Hilda Maria,22,Southampton,S
Hendekovic,Mr Ignjac,28,Southampton,†
Henriksson,Miss Jenny Lovisa,28,Southampton,†
Henry,Miss Bridget Delia,21,Queenstown,†
Hirvonen,Mrs Helga Elisabeth Lindqvist,22,Southampton,S
Hirvonen,Miss Hildur Elisabeth,2,Southampton,S
Holm,Mr John Fredrik Alexander,43,Southampton,†
Holthen,Mr Johan Martin,28,Southampton,†
Honkanen,Miss Eliina,27,Southampton,†
Horgan,Mr John,22,Queenstown,†
Howard,Miss May Elizabeth,26,Southampton,S
Humblen,Mr Adolf Mathias Nicolai Olsen,42,Southampton,†
Hyman,Mr Abraham Joseph,34,Southampton,S
Ibrahim Shawah,Mr Yousseff,33,Cherbourg,†
Ibrāhīm,Mrs Sāfiyah,18,Cherbourg,S
Ibrāhīm,Mr Husayn Mahmūd Husayn,11,Cherbourg,†
Ilieff,Mr Ylio,32,Southampton,†
Ilmakangas,Miss Ida Livija,27,Southampton,†
Ilmakangas,Miss Pieta Sofia,25,Southampton,†
Ivanoff,Mr Kanio,20,Southampton,†
Jabbur (Zabour),Miss Thamine,19,Cherbourg,†
Jabbur (Zabour),Miss Hileni,16,Cherbourg,†
Jalševac,Mr Ivan,29,Cherbourg,S
Jansson,Mr Carl Olof,21,Southampton,S
Jardim,Mr José Neto,21,Southampton,†
Jönsson,Mr Nils Hilding,27,Southampton,†
Jensen,Mr Hans Peder,20,Southampton,†
Jensen,Mr Svend Lauritz,17,Southampton,†
Jensen,Mr Niels Rasmus,48,Southampton,†
Jermyn,Miss Annie Jane,26,Queenstown,S
Johannesen,Mr Bernt Johannes,29,Southampton,S
Johanson,Mr Jakob Alfred,34,Southampton,†
Johansson,Mr Nils,29,Southampton,†
Johansson,Mr Erik,22,Southampton,†
Johansson,Mr Gustaf Joel,33,Southampton,†
Johansson,Mr Karl Johan,31,Southampton,†
Johansson Palmquist,Mr Oskar Leander,26,Southampton,S
Johnson,Mr August,49,Southampton,†
Johnson,Mr William Cahoone Jr.,19,Southampton,†
Johnson,Mr Malkolm Joackim,33,Southampton,†
Johnson,Mrs Elisabeth Vilhelmina,26,Southampton,S
Johnson,Master Harold Theodor,4,Southampton,S
Johnson,Miss Eleanor Ileen,1,Southampton,S
Johnston,Mr Andrew Emslie,35,Southampton,†
Johnston,Mrs Eliza,36,Southampton,†
Johnston,Master William Andrew,8,Southampton,†
Johnston,Miss Catherine Nellie,7,Southampton,†
Jonkoff,Mr Lalio,23,Southampton,†
Jonsson,Mr Carl,25,Southampton,S
Joseph (Shahin),Mr Elias,39,Cherbourg,†
Jussila,Miss Katriina,20,Southampton,†
Jussila,Miss Mari Aina,21,Southampton,†
Jussila,Mr Eiriik,32,Southampton,S
Kallio,Mr Nikolai Erland,17,Southampton,†
Kalvik,Mr Johannes Halvorsen,21,Southampton,†
Karajic,Mr Milan,30,Southampton,†
Karlsson,Mr Einar Gervasius,21,Southampton,S
Karlsson,Mr Julius Konrad Eugen,33,Southampton,†
Karlsson,Mr Nils August,22,Southampton,†
Karun,Mr Franz,39,Cherbourg,S
Karun,Miss Manca,4,Cherbourg,S
Katavelos,Mr Vasilios G.,19,Cherbourg,†
Keane,Mr Andrew,23,Queenstown,†
Keefe,Mr Arthur,39,Southampton,†
Kelly,Mr James,19,Southampton,†
Kelly,Mr James,44,Queenstown,†
Kelly,Miss Anna Katherine,20,Queenstown,S
Kelly,Miss Mary,22,Queenstown,S
Kennedy,Mr John,24,Queenstown,†
Khalil,Mr Betros,25,Cherbourg,†
Khalil,Mrs Zahie,20,Cherbourg,†
Kiernan,Mr John Joseph,25,Queenstown,†
Kiernan,Mr Philip,22,Queenstown,†
Kilgannon,Mr Thomas,22,Queenstown,†
Kink,Mr Anton,29,Southampton,S
Kink,Miss Maria,22,Southampton,†
Kink,Mr Vincenz,26,Southampton,†
Kink-Heilmann,Mrs Luise,26,Southampton,S
Kink-Heilmann,Miss Luise Gretchen,4,Southampton,S
Klasén,Mr Klas Albin,18,Southampton,†
Klasén,Miss Gertrud Emilia,1,Southampton,†
Klasén,Mrs Hulda Kristina Eugenia,36,Southampton,†
Kraeff,Mr Theodor,NK,Cherbourg,†
Krekorian,Mr Neshan,25,Cherbourg,S
Kutscher (Lithman),Mr Simon,26,Southampton,†
Lahhūd Ishaq Mu’Awwad,MrSark īs,30,Cherbourg,†
Laitinen,Miss Kristina Sofia,37,Southampton,†
Lam,Mr Ali,38,Southampton,S
Lam,Mr Len,23,Southampton,†
Landergren,Miss Aurora Adelia,22,Southampton,S
Lane,Mr Patrick,16,Queenstown,†
Lang,Mr Fang,32,Southampton,S
Larsson,Mr August Viktor,29,Southampton,†
Larsson,Mr Bengt Edvin,29,Southampton,†
Larsson,Mr Edvard,22,Southampton,†
Lefebvre,Mrs Frances Marie,40,Southampton,†
Lefebvre,Master Henry,5,Southampton,†
Lefebvre,Miss Ida,3,Southampton,†
Lefebvre,Miss Jeannie,8,Southampton,†
Lefebvre,Miss Mathilde,12,Southampton,†
Leinonen,Mr Antti Gustaf,32,Southampton,†
Lennon,Mr Denis,20,Queenstown,†
Lester,Mr James,26,Southampton,†
Lievens,Mr René Aimé,24,Southampton,†
Lindahl,Miss Agda Thorilda Viktoria,25,Southampton,†
Lindblom,Miss Augusta Charlotta,45,Southampton,†
Lindell,Mr Edvard Bengtsson,36,Southampton,S
Lindell,Mrs Elin Gerda,30,Southampton,S
Lindqvist,Mr Eino William,20,Southampton,S
Linehan,Mr Michael,21,Queenstown,†
Ling,Mr Lee,28,Southampton,†
Linhart,Mr Wenzel,27,Southampton,†
Livshin,Mr David,25,Southampton,S
Lobb,Mr William Arthur,30,Southampton,†
Lobb,Mrs Cordelia K.,26,Southampton,†
Lockyer,Mr Edward Thomas,19,Southampton,†
Lovell,Mr John Hall,20,Southampton,†
Lulic,Mr Nikola,29,Southampton,S
Lundahl,Mr Johan Svensson,51,Southampton,†
Lundin,Miss Olga Elida,23,Southampton,S
Lundström,Mr Thure Edvin,32,Southampton,S
Lymperopoulus,Mr Panagiotis K.,30,Cherbourg,†
Lyntakoff,Mr Stanko,44,Southampton,†
Mackay,Mr George William,20,Southampton,†
Madigan,Miss Margaret,21,Queenstown,S
Madsen,Mr Fridtjof Arne,24,Southampton,S
Mahon,Miss Bridget Delia,20,Queenstown,†
Maisner,Mr Simon,34,Southampton,†
Mangan,Miss Mary,32,Queenstown,†
Mannion,Miss Margaret,28,Queenstown,S
Mardirosian,Mr Sarkis,25,Cherbourg,†
Marinko,Mr Dmitri,23,Southampton,†
Markoff,Mr Marin,35,Southampton,†
Markun,Mr Johann,33,Cherbourg,†
Matinoff,Mr Nicola,30,Cherbourg,†
Māmā,Mr Hannā Mikā’ īl,18,Cherbourg,S
Mäenpää,Mr Matti Alexanteri,22,Southampton,†
Mäkinen,Mr Kalle Edvard,29,Southampton,†
McCarthy,Miss Catherine,24,Queenstown,S
McCormack,Mr Thomas Joseph,19,Queenstown,†
McCoy,Miss Agnes,29,Queenstown,S
McCoy,Miss Alice,26,Queenstown,S
McCoy,Mr Bernard,24,Queenstown,S
McDermott,Miss Bridget Delia,31,Queenstown,S
McEvoy,Mr Michael,19,Queenstown,†
McGovern,Ms Mary,22,Queenstown,S
McGowan,Miss Catherine,42,Queenstown,†
McGowan,Miss Anna Louise,17,Queenstown,†
McMahon,Mr Martin,19,Queenstown,†
McNamee,Mr Neal,27,Southampton,†
McNamee,Mrs Eileen,19,Southampton,†
McNeill,Miss Bridget,32,Queenstown,†
Meanwell,Mrs Marian,62,Southampton,†
Meehan,Mr John,22,Queenstown,†
Meek,Mrs Annie Louisa,31,Southampton,†
Meo (Martino),Mr Alfonzo,48,Southampton,†
Mernagh,Mr Robert,28,Queenstown,†
Midtsjø,Mr Karl Albert,21,Southampton,S
Mihoff,Mr Stoytcho,28,Southampton,†
Miles,Mr Frank,23,Southampton,†
Mineff,Mr Ivan,24,Southampton,†
Minkoff,Mr Lazar,21,Southampton,†
Mitkoff,Mr Mito,23,Southampton,†
Mockler,Miss Ellen Mary,23,Queenstown,S
Moen,Mr Sigurd Hansen,27,Southampton,†
Moor,Mrs Beila,29,Southampton,S
Moor,Master Meier,7,Southampton,S
Moore,Mr Leonard Charles,19,Southampton,†
Moran,Miss Bridget,28,Queenstown,S
Moran,Mr Daniel J.,27,Queenstown,†
Morley,Mr William,34,Southampton,†
Morrow,Mr Thomas Rowan,30,Queenstown,†
Moss,Mr Albert Johan,29,Southampton,S
Moussa,Mrs Mantoura Boulos,35,Cherbourg,†
Moutal,Mr Rahamin Haim,28,Southampton,†
Mubārik,Mrs Am īnah,24,Cherbourg,S
Mubārik,Master Jirjis,7,Cherbourg,S
Mubārik,Master Hal īm,4,Cherbourg,S
Mullin,Miss Catherine,21,Queenstown,S
Mullin,Miss Mary (Lennon),18,Queenstown,†
Mulvihill,Miss Bridget Elizabeth,25,Queenstown,S
Murdlin,Mr Joseph,22,Southampton,†
Murphy,Miss Nora,34,Queenstown,S
Murphy,Miss Margaret Jane,25,Queenstown,S
Murphy,Miss Catherine,18,Queenstown,S
Muslamān ī,Mrs Fat īmah Muhammad,22,Cherbourg,S
Myhrman,Mr Pehr Fabian Oliver Malkolm,18,Southampton,†
Naidenoff,Mr Penko,22,Southampton,†
Najib Kiamie,Miss Adele,15,Cherbourg,S
Nakhli,Mr Toufik,17,Cherbourg,†
Nakid,Mr Sahid,20,Cherbourg,S
Nakid,Mrs Waika,19,Cherbourg,S
Nakid,Miss Maria,1,Cherbourg,S
Nancarrow,Mr William Henry,36,Southampton,†
Nankoff,Mr Minko,32,Southampton,†
Nasr ‘Almā,Mr Mustafà,20,Cherbourg,†
Nassr Rizq,Mr Saade,20,Cherbourg,†
Naughton,Miss Hannah,21,Queenstown,†
N īqūla Yārid,Miss Jamilah,14,Cherbourg,S
N īqūla Yārid,Master Ilyās,11,Cherbourg,S
Nenkov,Mr Hristo,22,Southampton,†
Nieminen,Miss Manta Josefina,29,Southampton,†
Niklasson,Mr Samuel,28,Southampton,†
Nilsson,Mr August Ferdinand,21,Southampton,†
Nilsson,Miss Berta Olivia,18,Southampton,S
Nilsson,Miss Helmina Josefina,26,Southampton,S
Nirva,Mr Iisakki Antino äijö,41,Southampton,†
Niskänen,Mr Juha,39,Southampton,S
Nofal,Mr Mansouer,20,Cherbourg,†
Nosworthy,Mr Richard Cater,21,Southampton,†
Nysten,Miss Anna Sofia,22,Southampton,S
Nysveen,Mr Johan Hansen,60,Southampton,†
O’Brien,Mr Denis,21,Queenstown,†
O’Brien,Mr Thomas,27,Queenstown,†
O’Brien,Mrs Johanna,26,Queenstown,†
O’Connell,Mr Patrick Denis,17,Queenstown,†
O’Connor,Mr Maurice,16,Queenstown,†
O’Connor,Mr Patrick,23,Queenstown,†
O’Dwyer,Miss Ellen,25,Queenstown,S
O’Keefe,Mr Patrick,21,Queenstown,S
O’Leary,Miss Hanora,16,Queenstown,S
O’Sullivan,Miss Bridget Mary,21,Queenstown,†
Ödahl,Mr Nils Martin,23,Southampton,†
Öhman,Miss Velin,22,Southampton,S
Olsen,Mr Karl Siegwart Andreas,42,Southampton,†
